R,PR,Position,Name,Team,RBBR,FF Projection
515,103,QB,Carter Bradley,South Alabama,5.9,Taxi Squad Stash,Rookie
389,42,TE,Carter Nelson,Nebraska,6.2,Bench Depth,Devy
124,30,RB,Cedric Baxter Jr.,Texas,7.2,Weekly Starter,Devy
329,130,WR,Cedric Tillman,CLE,6.4,Bench Depth,Dynasty
4,1,WR,CeeDee Lamb,DAL,9.2,Generational,Dynasty
595,115,QB,Chandler Morris,North Texas,5.5,Waiver Wire Warrior,Devy
375,149,WR,Charlie Jones,CIN,6.2,Bench Depth,Dynasty
212,63,RB,Chase Brown,CIN,6.7,Flex Filler,Dynasty
312,33,TE,Chigoziem Okonkwo,TEN,6.4,Bench Depth,Dynasty
133,53,WR,Chris Godwin,TB,7.1,Weekly Starter,Dynasty
381,155,WR,Chris Marshall,Mississippi,6.2,Bench Depth,Devy
33,13,WR,Chris Olave,NO,8.2,League Winner,Dynasty
149,56,WR,Christian Kirk,JAC,7.1,Weekly Starter,Dynasty
561,218,WR,Christian Leary,Georgia Tech,5.7,Taxi Squad Stash,Devy
19,3,RB,Christian McCaffrey,SF,8.4,League Winner,Dynasty
150,57,WR,Christian Watson,GB,7.0,Weekly Starter,Dynasty
608,164,RB,Christopher Rodriguez,WAS,5.4,Waiver Wire Warrior,Dynasty
267,62,QB,Christopher Vizzina,Clemson,6.6,Flex Filler,Devy
164,45,RB,Chuba Hubbard,CAR,6.9,Flex Filler,Dynasty
181,45,QB,CJ Carr,Notre Dame,6.9,Flex Filler,Devy
355,99,RB,CJ Donaldson,West Virginia,6.3,Bench Depth,Devy
12,7,QB,CJ Stroud,HOU,8.6,Franchise Cornerstone,Dynasty
414,172,WR,CJ Williams,USC,6.1,Bench Depth,Devy
605,162,RB,Clyde Edwards-Helaire,KC,5.4,Waiver Wire Warrior,Dynasty
177,52,RB,Cody Schrader,Missouri,6.9,Flex Filler,Rookie
394,44,TE,Colby Parkinson,LAR,6.2,Bench Depth,Dynasty
431,114,RB,Cole Cabana,Michigan,6.1,Bench Depth,Devy
134,14,TE,Cole Kmet,CHI,7.1,Weekly Starter,Dynasty
126,30,QB,Conner Weigman,Texas A&M,7.2,Weekly Starter,Devy
603,96,TE,Connor Heyward,PIT,5.5,Waiver Wire Warrior,Dynasty
88,40,WR,Cooper Kupp,LAR,7.6,Weekly Starter,Dynasty
633,179,RB,Cordarrelle Patterson,ATL,4.9,Waiver Wire Warrior,Dynasty
544,145,RB,Corey Kiner,Cincinnati,5.8,Taxi Squad Stash,Devy
523,210,WR,Cornelius Johnson,Michigan,5.8,Taxi Squad Stash,Rookie
564,221,WR,Cornelius Johnson,Michigan,5.7,Taxi Squad Stash,Devy
165,63,WR,Courtland Sutton,DEN,6.9,Flex Filler,Dynasty
298,118,WR,Curtis Samuel,BUF,6.5,Bench Depth,Dynasty
98,22,RB,D'Andre Swift,CHI,7.5,Weekly Starter,Dynasty
634,180,RB,D'Ernest Johnson,JAC,4.7,Waiver Wire Warrior,Dynasty
509,136,RB,Daijun Edwards,Georgia,5.9,Taxi Squad Stash,Rookie
23,11,QB,Dak Prescott,DAL,8.4,League Winner,Dynasty
316,89,RB,Dallan Hayden,Ohio State,6.4,Bench Depth,Devy
136,15,TE,Dallas Goedert,PHI,7.1,Weekly Starter,Dynasty
535,79,TE,Dallin Holker,Colorado State,5.8,Taxi Squad Stash,Rookie
123,13,TE,Dalton Kincaid,BUF,7.2,Weekly Starter,Dynasty
91,10,TE,Dalton Schultz,HOU,7.5,Weekly Starter,Dynasty
426,109,RB,Damari Alston,Auburn,6.1,Bench Depth,Devy
606,163,RB,Dameon Pierce,HOU,5.4,Waiver Wire Warrior,Dynasty
200,58,RB,Damien Martinez,Oregon State,6.8,Flex Filler,Devy
233,84,WR,Dane Key,Kentucky,6.6,Flex Filler,Devy
446,56,TE,Daniel Bellinger,NYG,6.1,Bench Depth,Dynasty
294,84,RB,Daniel Hill,Alabama,6.5,Flex Filler,Devy
