R,PR,Position,Name,Team,RBBR,FF Projection
307,33,TE,Carter Nelson,Nebraska,6.4,Bench Depth,Devy
115,28,RB,Cedric Baxter Jr.,Texas,7.2,Weekly Starter,Devy
328,126,WR,Cedric Tillman,CLE,6.4,Bench Depth,Dynasty
4,1,WR,CeeDee Lamb,DAL,9.2,Generational,Dynasty
590,117,QB,Chandler Morris,North Texas,5.5,Waiver Wire Warrior,Devy
382,149,WR,Charlie Jones,CIN,6.2,Bench Depth,Dynasty
201,58,RB,Chase Brown,CIN,6.7,Flex Filler,Dynasty
300,30,TE,Chigoziem Okonkwo,TEN,6.4,Bench Depth,Dynasty
133,49,WR,Chris Godwin,TB,7.1,Weekly Starter,Dynasty
401,164,WR,Chris Marshall,Mississippi,6.2,Bench Depth,Devy
32,12,WR,Chris Olave,NO,8.2,League Winner,Dynasty
143,54,WR,Christian Kirk,JAC,7.1,Weekly Starter,Dynasty
558,219,WR,Christian Leary,Georgia Tech,5.7,Taxi Squad Stash,Devy
20,4,RB,Christian McCaffrey,SF,8.4,League Winner,Dynasty
146,56,WR,Christian Watson,GB,7.0,Weekly Starter,Dynasty
598,164,RB,Christopher Rodriguez,WAS,5.4,Waiver Wire Warrior,Dynasty
312,68,QB,Christopher Vizzina,Clemson,6.4,Bench Depth,Devy
230,68,RB,Chuba Hubbard,CAR,6.6,Flex Filler,Dynasty
222,52,QB,CJ Carr,Notre Dame,6.7,Flex Filler,Devy
366,104,RB,CJ Donaldson,West Virginia,6.3,Bench Depth,Devy
9,6,QB,CJ Stroud,HOU,8.6,Franchise Cornerstone,Dynasty
445,181,WR,CJ Williams,USC,6.1,Bench Depth,Devy
596,162,RB,Clyde Edwards-Helaire,KC,5.4,Waiver Wire Warrior,Dynasty
206,61,RB,Cody Schrader,Missouri,6.7,Flex Filler,Rookie
403,48,TE,Colby Parkinson,LAR,6.2,Bench Depth,Dynasty
441,117,RB,Cole Cabana,Michigan,6.1,Bench Depth,Devy
132,14,TE,Cole Kmet,CHI,7.1,Weekly Starter,Dynasty
522,71,TE,Colson Yankoff,ULA,5.8,Taxi Squad Stash,Rookie
122,32,QB,Conner Weigman,Texas A&M,7.2,Weekly Starter,Devy
594,93,TE,Connor Heyward,PIT,5.5,Waiver Wire Warrior,Dynasty
92,38,WR,Cooper Kupp,LAR,7.5,Weekly Starter,Dynasty
624,177,RB,Cordarrelle Patterson,ATL,4.9,Waiver Wire Warrior,Dynasty
536,149,RB,Corey Kiner,Cincinnati,5.8,Taxi Squad Stash,Devy
523,209,WR,Cornelius Johnson,Michigan,5.8,Taxi Squad Stash,Rookie
227,83,WR,Courtland Sutton,DEN,6.7,Flex Filler,Dynasty
258,99,WR,Curtis Samuel,BUF,6.6,Flex Filler,Dynasty
125,32,RB,D'Andre Swift,CHI,7.2,Weekly Starter,Dynasty
625,178,RB,D'Ernest Johnson,JAC,4.7,Waiver Wire Warrior,Dynasty
471,124,RB,Daijun Edwards,Georgia,6.0,Bench Depth,Rookie
22,10,QB,Dak Prescott,DAL,8.4,League Winner,Dynasty
283,85,RB,Dallan Hayden,Transfer Portal,6.5,Flex Filler,Devy
134,15,TE,Dallas Goedert,PHI,7.1,Weekly Starter,Dynasty
528,73,TE,Dallin Holker,Colorado State,5.8,Taxi Squad Stash,Rookie
56,8,TE,Dalton Kincaid,BUF,7.8,Weekly Starter,Dynasty
79,11,TE,Dalton Schultz,HOU,7.5,Weekly Starter,Dynasty
435,113,RB,Damari Alston,Auburn,6.1,Bench Depth,Devy
597,163,RB,Dameon Pierce,HOU,5.4,Waiver Wire Warrior,Dynasty
187,52,RB,Damien Martinez,Transfer Portal,6.8,Flex Filler,Devy
170,63,WR,Dane Key,Kentucky,6.9,Flex Filler,Devy
459,58,TE,Daniel Bellinger,NYG,6.1,Bench Depth,Dynasty
276,83,RB,Daniel Hill,Alabama,6.5,Flex Filler,Devy
177,43,QB,Daniel Jones,NYG,6.9,Flex Filler,Dynasty
485,196,WR,Dante Cephas,Transfer Portal,6.0,Bench Depth,Devy
476,126,RB,Dante Dowdell,Oregon,6.0,Bench Depth,Devy
168,41,QB,Dante Moore,Oregon,6.9,Flex Filler,Devy
458,190,WR,Darius Slayton,NYG,6.1,Bench Depth,Dynasty
293,114,WR,Darnell Mooney,ATL,6.5,Bench Depth,Dynasty
203,22,TE,Darren Waller,NYG,6.7,Flex Filler,Dynasty
50,18,WR,Davante Adams,LV,7.9,Weekly Starter,Dynasty
128,35,RB,David Montgomery,DET,7.2,Weekly Starter,Dynasty
74,10,TE,David Njoku,CLE,7.6,Weekly Starter,Dynasty
406,50,TE,Dawson Knox,BUF,6.2,Bench Depth,Dynasty
608,227,WR,Dayton Wade,Ole Miss,5.3,Waiver Wire Warrior,Rookie
296,116,WR,DeAndre Hopkins,TEN,6.4,Bench Depth,Dynasty
61,25,WR,Deebo Samuel,SF,7.8,Weekly Starter,Dynasty
611,168,RB,DeeJay Dallas,ARI,5.2,Waiver Wire Warrior,Dynasty
453,187,WR,Deion Smith,LSU,6.1,Bench Depth,Devy
