R,PR,Position,Name,Team,RBBR,FF Projection
5,2,WR,Justin Jefferson,MIN,9.1,Generational,Dynasty
497,200,WR,Justin Watson,KC,5.9,Taxi Squad Stash,Dynasty
454,57,TE,Juwan Johnson,NO,6.1,Bench Depth,Dynasty
446,182,WR,Kaden Saunders,Penn State,6.1,Bench Depth,Devy
490,98,QB,Kaidon Salter,Liberty,6.0,Bench Depth,Devy
542,213,WR,Kaleb Brown,Iowa,5.8,Taxi Squad Stash,Devy
442,118,RB,Kaleb Jackson,LSU,6.1,Bench Depth,Devy
549,218,WR,Kalif Raymond,DET,5.7,Taxi Squad Stash,Dynasty
486,132,RB,Kameron Davis,Florida State,6.0,Bench Depth,Devy
443,119,RB,Kavosiey Smoke,Colorado,6.1,Bench Depth,Devy
193,53,RB,Kaytron Allen,Penn State,6.8,Flex Filler,Devy
515,140,RB,Keaton Mitchell,BAL,5.8,Taxi Squad Stash,Dynasty
395,80,QB,Kedon Slovis,BYU,6.2,Bench Depth,Rookie
273,80,RB,Kedren Young,Notre Dame,6.5,Flex Filler,Devy
478,128,RB,Kedrick Resscano,Michigan State,6.0,Bench Depth,Devy
71,28,WR,Keenan Allen,CHI,7.7,Weekly Starter,Dynasty
583,159,RB,Keilan Robinson,Texas,5.5,Waiver Wire Warrior,Rookie
349,97,RB,Kendall Milton,Georgia,6.3,Bench Depth,Rookie
370,105,RB,Kendre Miller,NO,6.3,Bench Depth,Dynasty
288,110,WR,Kendrick Bourne,NE,6.5,Bench Depth,Dynasty
322,92,RB,Kenneth Gainwell,PHI,6.4,Bench Depth,Dynasty
64,12,RB,Kenneth Walker III,SEA,7.7,Weekly Starter,Dynasty
342,74,QB,Kenny Pickett,PIT,6.3,Bench Depth,Dynasty
112,46,WR,Keon Coleman,Florida State,7.2,Weekly Starter,Rookie
430,177,WR,Kevin Coleman,Mississippi State,6.1,Bench Depth,Devy
242,91,WR,Kevin Concepcion,NC State,6.6,Flex Filler,Devy
612,169,RB,Kevin Harris,NE,5.2,Waiver Wire Warrior,Dynasty
275,82,RB,Kevin Riley,Alabama,6.5,Flex Filler,Devy
569,154,RB,Khalil Herbert,CHI,5.6,Waiver Wire Warrior,Dynasty
234,86,WR,Khalil Shakir,BUF,6.6,Flex Filler,Dynasty
467,122,RB,Kimani Vidal,Troy,6.0,Bench Depth,Rookie
75,21,QB,Kirk Cousins,ATL,7.6,Weekly Starter,Dynasty
451,90,QB,KJ Jefferson,UCF,6.1,Bench Depth,Devy
318,122,WR,Kobe Prentice,Alabama,6.4,Bench Depth,Devy
540,103,QB,Kyle McCord,Syracuse,5.8,Taxi Squad Stash,Devy
344,138,WR,Kyle Phillips,TEN,6.3,Bench Depth,Dynasty
47,5,TE,Kyle Pitts,ATL,8.0,Weekly Starter,Dynasty
516,69,TE,Kylen Granson,IND,5.8,Taxi Squad Stash,Dynasty
19,9,QB,Kyler Murray,ARI,8.4,League Winner,Dynasty
46,9,RB,Kyren Williams,LAR,8.0,Weekly Starter,Dynasty
114,47,WR,Ladd McConkey,Georgia,7.2,Weekly Starter,Rookie
2,2,QB,Lamar Jackson,BAL,9.3,Generational,Dynasty
364,102,RB,Le'Veon Moss,Texas A&M,6.3,Bench Depth,Devy
520,207,WR,Lideatrick Griffin,Mississippi State,5.8,Taxi Squad Stash,Rookie
615,229,WR,Lincoln Victor,Washington State,5.2,Waiver Wire Warrior,Rookie
508,137,RB,LJ Johnson,SMU,5.9,Taxi Squad Stash,Devy
572,85,TE,Luke Farrell,JAC,5.5,Waiver Wire Warrior,Dynasty
221,51,QB,Luke Kromenhoek,Florida State,6.7,Flex Filler,Devy
391,158,WR,Luke McCaffrey,Rice,6.2,Bench Depth,Rookie
178,18,TE,Luke Musgrave,GB,6.8,Flex Filler,Dynasty
239,27,TE,Luke Reynolds,Penn State,6.6,Flex Filler,Devy
561,81,TE,Luke Schoonmaker,DAL,5.6,Taxi Squad Stash,Dynasty
35,13,WR,Luther Burden,Missouri,8.2,League Winner,Devy
361,75,QB,Maalik Murphey,Duke,6.3,Bench Depth,Devy
460,93,QB,Mac Jones,JAC,6.1,Bench Depth,Dynasty
374,145,WR,Mack Hollins,BUF,6.3,Bench Depth,Dynasty
272,106,WR,Makai Lemon,USC,6.5,Flex Filler,Devy
301,119,WR,Malachi Corley,Western Kentucky,6.4,Bench Depth,Rookie
313,69,QB,Malachi Nelson,Boise State,6.4,Bench Depth,Devy
448,184,WR,Malik Benson,Florida State,6.1,Bench Depth,Devy
29,10,WR,Malik Nabers,LSU,8.3,League Winner,Rookie
213,78,WR,Malik Washington,Virginia,6.7,Flex Filler,Rookie
371,78,QB,Marcus Mariota,WAS,6.3,Bench Depth,Dynasty
466,192,WR,Marcus Rosemy-Jacksaint,Georgia,6.0,Bench Depth,Rookie
40,3,TE,Mark Andrews,BAL,8.1,League Winner,Dynasty
413,167,WR,Marquez-Valdes Scantling,KC,6.1,Bench Depth,Dynasty
162,48,RB,Marshawn Lloyd,USC,6.9,Flex Filler,Rookie
11,4,WR,Marvin Harrison Jr,Ohio State,8.6,Franchise Cornerstone,Rookie
174,66,WR,Marvin Mims,DEN,6.9,Flex Filler,Dynasty
576,88,TE,Mason Fairchild,Kansas,5.5,Waiver Wire Warrior,Rookie
375,79,QB,Mason Rudolph,TEN,6.3,Bench Depth,Dynasty
167,62,WR,Matthew Golden,Texas,6.9,Flex Filler,Devy
91,23,QB,Matthew Stafford,LAR,7.5,Weekly Starter,Dynasty
579,89,TE,McCallan Castles,Tennessee,5.5,Waiver Wire Warrior,Rookie
192,73,WR,Micah Hudson,Texas Tech,6.8,Flex Filler,Devy
621,174,RB,Michael Carter,ARI,5.1,Waiver Wire Warrior,Dynasty
455,188,WR,Michael Gallup,DAL,6.1,Bench Depth,Dynasty
600,120,QB,Michael Heirs,Samford,5.4,Waiver Wire Warrior,Rookie
158,17,TE,Michael Mayer,LV,6.9,Flex Filler,Dynasty
265,59,QB,Michael Penix Jr.,Washington,6.5,Flex Filler,Rookie
31,11,WR,Michael Pittman,IND,8.2,League Winner,Dynasty
212,49,QB,Michael Pratt,Tulane,6.7,Flex Filler,Rookie
355,42,TE,Michael Smith,South Carolina,6.3,Bench Depth,Devy
484,61,TE,Michael Trigg,Baylor,6.0,Bench Depth,Devy
351,99,RB,Michael Wiley,Arizona,6.3,Bench Depth,Rookie
225,82,WR,Michael Wilson,ARI,6.7,Flex Filler,Dynasty
68,27,WR,Mike Evans,TB,7.7,Weekly Starter,Dynasty
416,54,TE,Mike Gesicki,CIN,6.1,Bench Depth,Dynasty
243,92,WR,Mike Matthews,Tennessee,6.6,Flex Filler,Devy
381,109,RB,Miles Sanders,CAR,6.3,Bench Depth,Dynasty
577,156,RB,Miyan Williams,Ohio State,5.5,Waiver Wire Warrior,Rookie
450,186,WR,Monaray Baldwin,Baylor,6.1,Bench Depth,Devy
437,115,RB,Montrell Johnson,Florida,6.1,Bench Depth,Devy
244,93,WR,Mylan Graham,Ohio State,6.6,Flex Filler,Devy
73,15,RB,Najee Harris,PIT,7.6,Weekly Starter,Dynasty
488,134,RB,Nate Frazier,Georgia,6.0,Bench Depth,Devy
420,172,WR,Nelson Agholor,BAL,6.1,Bench Depth,Dynasty
238,88,WR,Nic Anderson,Oklahoma,6.6,Flex Filler,Devy
90,22,QB,Nicholaus Iamaleava,Tennessee,7.5,Weekly Starter,Devy
180,50,RB,Nick Chubb,CLE,6.8,Flex Filler,Dynasty
554,106,QB,Nick Evers,Wisconsin,5.7,Taxi Squad Stash,Devy
99,19,RB,Nick Singleton,Penn State,7.4,Weekly Starter,Devy
333,130,WR,Nick Westbrook-Ikhine,TEN,6.4,Bench Depth,Dynasty
144,55,WR,Nico Collins,HOU,7.1,Weekly Starter,Dynasty
385,152,WR,Noah Brown,HOU,6.2,Bench Depth,Dynasty
411,53,TE,Noah Fant,SEA,6.1,Bench Depth,Dynasty
362,76,QB,Noah Fifita,Arizona,6.3,Bench Depth,Devy
410,52,TE,Noah Gray,KC,6.2,Bench Depth,Dynasty
588,115,QB,Noah Kim,Coastal Carolina,5.5,Waiver Wire Warrior,Devy
368,143,WR,Noah Rogers,NC State,6.3,Bench Depth,Devy
217,79,WR,Nyckoles Harbor,South Carolina,6.7,Flex Filler,Devy
457,189,WR,Odell Beckham Jr,FA,6.1,Bench Depth,Dynasty
124,31,RB,Ollie Gordon II,Oklahoma State,7.2,Weekly Starter,Devy
249,74,RB,Omarian Hampton,North Carolina,6.6,Flex Filler,Devy
224,24,TE,Oscar Delp,Georgia,6.7,Flex Filler,Devy
386,153,WR,Parker Washington,JAC,6.2,Bench Depth,Dynasty
228,25,TE,Pat Freiermuth,PIT,6.7,Flex Filler,Dynasty
6,4,QB,Patrick Mahomes,KC,8.9,Franchise Cornerstone,Dynasty
496,64,TE,Payne Durham,TB,5.9,Taxi Squad Stash,Dynasty
315,36,TE,Pearce Spurlin,Georgia,6.4,Bench Depth,Devy
310,121,WR,Perry Thompson,Auburn,6.4,Bench Depth,Devy
438,116,RB,Phil Mafah,Clemson,6.1,Bench Depth,Devy
617,171,RB,Pierre Strong,CLE,5.2,Waiver Wire Warrior,Dynasty
482,96,QB,Preston Stone,SMU,6.0,Bench Depth,Devy
26,9,WR,Puka Nacua,LAR,8.3,League Winner,Dynasty
289,111,WR,Quentin Johnson,LAC,6.5,Bench Depth,Dynasty
117,28,QB,Quinn Ewers,Texas,7.2,Weekly Starter,Devy
67,14,RB,Quinshon Judkins,Ohio State,7.7,Weekly Starter,Devy
44,8,RB,Rachaad White,TB,8.0,League Winner,Dynasty
130,37,RB,Raheem Mostert,MIA,7.1,Weekly Starter,Dynasty
282,84,RB,Raheim Sanders,South Carolina,6.5,Flex Filler,Devy
247,72,RB,Raleek Brown,Arizona State,6.6,Flex Filler,Devy
602,224,WR,Ramel Keyton,Tennessee,5.4,Waiver Wire Warrior,Rookie
544,215,WR,RaRa Thomas,Georgia,5.8,Taxi Squad Stash,Devy
152,57,WR,Rashee Rice,KC,7.0,Flex Filler,Dynasty
394,110,RB,Rasheen Ali,Marshall,6.2,Bench Depth,Rookie
255,98,WR,Rashid Shaheed,NO,6.6,Flex Filler,Dynasty
261,101,WR,Rashod Bateman,BAL,6.5,Flex Filler,Dynasty
210,63,RB,Ray Davis,Kentucky,6.7,Flex Filler,Rookie
151,43,RB,Rhamondre Stevenson,NE,7.0,Flex Filler,Dynasty
534,147,RB,Richard Reese,Baylor,5.8,Taxi Squad Stash,Devy
269,78,RB,Richard Young,Alabama,6.5,Flex Filler,Devy
183,69,WR,Ricky Pearsall,Florida,6.8,Flex Filler,Rookie
555,78,TE,Riley Williams,Miami,5.7,Taxi Squad Stash,Devy
548,217,WR,Robert Woods,HOU,5.8,Taxi Squad Stash,Dynasty
135,50,WR,Roman Wilson,Michigan,7.1,Weekly Starter,Rookie
53,19,WR,Rome Odunze,Washington,7.9,Weekly Starter,Rookie
171,64,WR,Romeo Doubs,GB,6.9,Flex Filler,Dynasty
330,127,WR,Rondale Moore,ATL,6.4,Bench Depth,Dynasty
605,165,RB,Ronnie Rivers,LAR,5.3,Waiver Wire Warrior,Dynasty
235,70,RB,Roschon Johnson,CHI,6.6,Flex Filler,Dynasty
102,20,RB,Rueben Owens,Texas A&M,7.3,Weekly Starter,Devy
156,37,QB,Russell Wilson,PIT,6.9,Flex Filler,Dynasty
354,139,WR,Ryan Flournoy,Southeast Missouri,6.3,Bench Depth,Rookie
280,61,QB,Ryan Puglisi,Georgia,6.5,Flex Filler,Devy
190,71,WR,Ryan Williams,Auburn,6.8,Flex Filler,Devy
191,72,WR,Ryan Wingo,Texas,6.8,Flex Filler,Devy
229,54,QB,Sam Darnold,MIN,6.7,Flex Filler,Dynasty
303,66,QB,Sam Hartman,Notre Dame,6.4,Bench Depth,Rookie
434,87,QB,Sam Horn,Missouri,6.1,Bench Depth,Devy
294,65,QB,Sam Howell,SEA,6.4,Bench Depth,Dynasty
18,1,TE,Sam LaPorta,DET,8.5,League Winner,Dynasty
21,5,RB,Saquon Barkley,PHI,8.4,League Winner,Dynasty
447,183,WR,Savion Williams,TCU,6.1,Bench Depth,Devy
613,170,RB,Sean Tucker,TB,5.2,Waiver Wire Warrior,Dynasty
319,123,WR,Shazz Preston,Transfer Portal,6.4,Bench Depth,Devy
120,30,QB,Shedeur Sanders,Colorado,7.2,Weekly Starter,Devy
241,90,WR,Shelton Sampson Jr.,LSU,6.6,Flex Filler,Devy
332,129,WR,Skyy Moore,KC,6.4,Bench Depth,Dynasty
163,39,QB,Spencer Rattler,South Carolina,6.9,Flex Filler,Rookie
431,178,WR,Squirrel White,Tennessee,6.1,Bench Depth,Devy
421,173,WR,Stefon Diggs,HOU,6.1,Bench Depth,Dynasty
49,6,TE,T.J. Hockenson,MIN,7.9,Weekly Starter,Dynasty
425,175,WR,Tahj Washington,USC,6.1,Bench Depth,Rookie
334,93,RB,Tank Bigsby,JAC,6.3,Bench Depth,Dynasty
62,26,WR,Tank Dell,HOU,7.8,Weekly Starter,Dynasty
352,41,TE,Tanner McLachlan,Arizona,6.3,Bench Depth,Rookie
587,114,QB,Taulia Tagovailoa,Maryland,5.5,Waiver Wire Warrior,Rookie
452,91,QB,Taylen Green,Arkansas,6.1,Bench Depth,Devy
196,55,RB,Taylor Tatum,Oklahoma,6.8,Flex Filler,Devy
254,56,QB,Taysom Hill,NO,6.6,Flex Filler,Dynasty
521,208,WR,Tayvion Robinson,Kentucky,5.8,Taxi Squad Stash,Rookie
60,24,WR,Tee Higgins,CIN,7.8,Weekly Starter,Dynasty
564,222,WR,Tejhaun Palmer,UAB,5.6,Taxi Squad Stash,Rookie
498,201,WR,Terrace Marshall,CAR,5.9,Taxi Squad Stash,Dynasty
614,228,WR,Terrell Vaughn,Utah State,5.2,Waiver Wire Warrior,Rookie
100,44,WR,Terry McLaurin,WAS,7.3,Weekly Starter,Dynasty
89,37,WR,Tetairoa McMillan,Arizona,7.5,Weekly Starter,Devy
509,138,RB,Thaddius Franklin,UL-Monroe,5.9,Taxi Squad Stash,Devy
214,23,TE,Theo Johnson,Penn State,6.7,Flex Filler,Rookie
513,205,WR,Theo Wease,Missouri,5.9,Taxi Squad Stash,Devy
408,166,WR,Tim Patrick,DEN,6.2,Bench Depth,Dynasty
427,55,TE,Tip Reiman,Illinois,6.1,Bench Depth,Rookie
570,83,TE,Tommy Tremble,CAR,5.6,Waiver Wire Warrior,Dynasty
110,25,RB,Tony Pollard,TEN,7.2,Weekly Starter,Dynasty
358,140,WR,Traeshon Holden,Oregon,6.3,Bench Depth,Devy
30,6,RB,Travis Etienne,JAC,8.2,League Winner,Dynasty
246,94,WR,Travis Hunter,Colorado,6.6,Flex Filler,Devy
42,4,TE,Travis Kelce,KC,8.1,League Winner,Dynasty
607,226,WR,Tre Mosley,Michigan State,5.3,Waiver Wire Warrior,Rookie
336,132,WR,Tre Tucker,LV,6.3,Bench Depth,Dynasty
88,18,RB,TreVeyon Henderson,Ohio State,7.5,Weekly Starter,Devy
479,129,RB,Trevonte Citizen,Transfer Portal,6.0,Bench Depth,Devy
116,29,RB,Trevor Etienne,Georgia,7.2,Weekly Starter,Devy
23,11,QB,Trevor Lawrence,JAC,8.4,League Winner,Dynasty
208,62,RB,Trey Benson,Florida State,6.7,Flex Filler,Rookie
525,72,TE,Trey Knox,South Carolina,5.8,Taxi Squad Stash,Rookie
326,72,QB,Trey Lance,DAL,6.4,Bench Depth,Dynasty
51,7,TE,Trey McBride,ARI,7.9,Weekly Starter,Dynasty
295,115,WR,Trey Palmer,TB,6.4,Bench Depth,Dynasty
510,139,RB,Trey Sanders,TCU,5.9,Taxi Squad Stash,Devy
308,34,TE,Trey'Dez Green,LSU,6.4,Bench Depth,Devy
477,127,RB,Treyaun Webb,Florida,6.0,Bench Depth,Devy
404,165,WR,Treylon Burks,TEN,6.2,Bench Depth,Dynasty
76,30,WR,Troy Franklin,Oregon,7.6,Weekly Starter,Rookie
43,16,QB,Tua Tagovailoa,MIA,8.1,League Winner,Dynasty
202,21,TE,Tucker Kraft,GB,6.7,Flex Filler,Dynasty
337,133,WR,Tutu Atwell,LAR,6.3,Bench Depth,Dynasty
378,107,RB,Ty Chandler,MIN,6.3,Bench Depth,Dynasty
511,101,QB,Ty Simpson,Alabama,5.9,Taxi Squad Stash,Devy
472,94,QB,Ty Thompson,Tulane,6.0,Bench Depth,Devy
172,49,RB,Tyjae Spears,TEN,6.9,Flex Filler,Dynasty
297,87,RB,Tyler Allgeier,ATL,6.4,Bench Depth,Dynasty
377,147,WR,Tyler Body,FA,6.3,Bench Depth,Dynasty
339,39,TE,Tyler Conklin,NYJ,6.3,Bench Depth,Dynasty
606,225,WR,Tyler Harrell,Miami,5.3,Waiver Wire Warrior,Rookie
327,38,TE,Tyler Higbee,LAR,6.4,Bench Depth,Dynasty
232,84,WR,Tyler Lockett,SEA,6.6,Flex Filler,Dynasty
557,80,TE,Tyler Lockwood,Alabama,5.7,Taxi Squad Stash,Devy
388,155,WR,Tyler Scott,CHI,6.2,Bench Depth,Dynasty
320,70,QB,Tyler Van Dyke,Wisconsin,6.4,Bench Depth,Devy
292,113,WR,Tyquan Thornton,NE,6.5,Bench Depth,Dynasty
25,8,WR,Tyreek Hill,MIA,8.3,League Winner,Dynasty
407,82,QB,Tyrod Taylor,NYJ,6.2,Bench Depth,Dynasty
267,76,RB,Tyrone Tracey Jr.,Purdue,6.5,Flex Filler,Rookie
384,151,WR,Van Jefferson,ATL,6.2,Bench Depth,Dynasty
188,47,QB,Walker Howard,Mississippi,6.8,Flex Filler,Devy
440,56,TE,Walker Lyons,USC,6.1,Bench Depth,Devy
311,67,QB,Walker White,Auburn,6.4,Bench Depth,Devy
259,100,WR,Wan'Dale Robinson,NYG,6.5,Flex Filler,Dynasty
189,48,QB,Will Howard,Ohio State,6.8,Flex Filler,Devy
226,53,QB,Will Levis,TEN,6.7,Flex Filler,Dynasty
474,95,QB,Will Rogers,Washington,6.0,Bench Depth,Devy
266,75,RB,Will Shipley,Clemson,6.5,Flex Filler,Rookie
161,59,WR,Xavier Leggete,South Carolina,6.9,Flex Filler,Rookie
424,174,WR,Xavier Weaver,Colorado,6.1,Bench Depth,Rookie
86,35,WR,Xavier Worthy,Texas,7.5,Weekly Starter,Rookie
153,44,RB,Zach Charbonnet,SEA,7.0,Flex Filler,Dynasty
551,77,TE,Zach Ertz,WAS,5.7,Taxi Squad Stash,Dynasty
620,173,RB,Zach Evans,LAR,5.1,Waiver Wire Warrior,Dynasty
581,91,TE,Zach Heins,South Dakota State,5.5,Waiver Wire Warrior,Rookie
103,45,WR,Zachariah Branch,USC,7.3,Weekly Starter,Devy
181,51,RB,Zack Moss,CIN,6.8,Flex Filler,Dynasty
142,40,RB,Zamir White,LV,7.1,Weekly Starter,Dynasty
57,22,WR,Zay Flowers,BAL,7.8,Weekly Starter,Dynasty
298,117,WR,Zay Jones,JAC,6.4,Bench Depth,Dynasty
